NumMinutos,NumEventos,Bateria,,y_i - ^y_i,SUMA.CUADRADOS(y_i - ^y_i)
1,1,184,,4.920809963,10172.2301986033
2,7,183,,4.664889051,
3,9,182,,4.378589648,
4,11,182,,5.092290245,
5,19,181,,4.851558579,
6,29,182,,6.626016159,
7,39,181,,6.400473738,
8,45,181,,7.144552826,
9,57,180,,6.934199651,
10,59,180,,7.647900249,
11,65,180,,8.391979337,
12,67,179,,8.105679934,
13,79,179,,8.895326759,
14,97,179,,9.730541321,
15,101,178,,9.459431163,
16,115,178,,10.26426723,
17,125,177,,10.03872481,
18,131,177,,10.7828039,
19,133,177,,11.4965045,
20,139,175,,10.24058359,
21,141,175,,10.95428418,
22,153,174,,10.74393101,
23,167,174,,11.54876708,
24,169,173,,11.26246768,
25,183,173,,12.06730375,
26,195,173,,12.85695057,
27,222,173,,13.76051674,
28,229,172,,13.51219045,
29,233,141,,-16.75891971,
30,247,137,,-19.95408364,
31,257,137,,-19.17962606,
32,259,137,,-18.46592546,
33,279,136,,-18.61552165,
34,291,136,,-17.82587483,
35,299,135,,-18.06660649,
36,327,135,,-17.1554457,
37,331,135,,-16.42655586,
38,339,135,,-15.66728753,
39,343,134,,-15.93839768,
40,348,134,,-15.20191322,
41,359,134,,-14.41986102,
42,369,134,,-13.64540344,
43,375,133,,-13.90132435,
44,393,133,,-13.06610979,
45,429,133,,-12.09419201,
46,441,132,,-12.30454519,
47,452,132,,-11.52249299,
48,453,137,,-5.816387013,
49,459,133,,-9.072307925,
50,479,132,,-9.221904118,
51,483,132,,-8.493014275,
52,485,132,,-7.779313678,
53,491,131,,-8.03523459,
54,493,131,,-7.321533992,
55,501,131,,-6.562265659,
56,517,131,,-5.742240342,
57,537,131,,-4.891836535,
58,543,130,,-5.147757447,
59,553,130,,-4.373299867,
60,565,130,,-3.583653042,
61,571,130,,-2.839573954,
62,573,130,,-2.125873357,
63,575,130,,-1.41217276,
64,579,130,,-0.6832829171,
65,597,129,,-0.8480683553,
66,599,129,,-0.1343677582,
67,601,129,,0.5793328389,
68,613,129,,1.368979664,
69,623,129,,2.143437243,
70,631,128,,1.902705577,
71,635,128,,2.63159542,
72,649,128,,3.436431491,
73,650,119,,-4.857462535,
74,650,119,,-4.158951184,
75,650,119,,-3.460439832,
76,650,119,,-2.761928481,
77,650,118,,-3.063417129,
78,650,118,,-2.364905778,
79,651,130,,10.3412002,
80,653,131,,12.05490079,
81,741,130,,12.42173895,
82,755,129,,12.22657502,
83,785,129,,13.15292506,
84,799,130,,14.95776113,
85,827,128,,13.86892192,
86,835,127,,13.62819025,
87,847,127,,14.41783708,
88,889,128,,16.43532259,
89,953,127,,16.6198898,
